year,Lenita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,8
1920,5
1921,0
1922,5
1923,5
1924,6
1925,8
1926,0
1927,6
1928,10
1929,0
1930,9
1931,8
1932,16
1933,11
1934,0
1935,9
1936,13
1937,9
1938,9
1939,10
1940,14
1941,9
1942,14
1943,15
1944,16
1945,8
1946,12
1947,20
1948,18
1949,22
1950,22
1951,15
1952,21
1953,20
1954,35
1955,30
1956,23
1957,21
1958,36
1959,25
1960,39
1961,27
1962,29
1963,31
1964,19
1965,27
1966,17
1967,25
1968,20
1969,28
1970,21
1971,24
1972,19
1973,27
1974,15
1975,16
1976,19
1977,18
1978,16
1979,14
1980,12
1981,19
1982,12
1983,14
1984,13
1985,12
1986,21
1987,15
1988,12
1989,17
1990,11
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,7
2000,0
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
