year,Leighann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,5
1957,6
1958,0
1959,7
1960,15
1961,28
1962,30
1963,29
1964,29
1965,21
1966,23
1967,46
1968,48
1969,55
1970,52
1971,56
1972,53
1973,36
1974,43
1975,36
1976,38
1977,51
1978,69
1979,74
1980,112
1981,103
1982,101
1983,104
1984,91
1985,100
1986,119
1987,113
1988,100
1989,105
1990,84
1991,80
1992,64
1993,106
1994,77
1995,67
1996,62
1997,84
1998,48
1999,59
2000,57
2001,48
2002,61
2003,42
2004,28
2005,45
2006,35
2007,37
2008,36
2009,42
2010,31
2011,47
2012,39
