year,Lita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,5
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,7
1904,0
1905,7
1906,10
1907,5
1908,9
1909,7
1910,14
1911,8
1912,7
1913,19
1914,11
1915,24
1916,16
1917,22
1918,23
1919,18
1920,21
1921,29
1922,17
1923,23
1924,32
1925,42
1926,44
1927,109
1928,63
1929,59
1930,74
1931,85
1932,74
1933,63
1934,48
1935,42
1936,49
1937,53
1938,36
1939,31
1940,30
1941,32
1942,21
1943,29
1944,30
1945,42
1946,21
1947,37
1948,39
1949,50
1950,47
1951,36
1952,57
1953,65
1954,75
1955,96
1956,89
1957,111
1958,104
1959,99
1960,135
1961,89
1962,79
1963,82
1964,72
1965,59
1966,47
1967,41
1968,35
1969,34
1970,34
1971,39
1972,28
1973,30
1974,17
1975,31
1976,14
1977,19
1978,16
1979,11
1980,16
1981,16
1982,16
1983,13
1984,12
1985,15
1986,18
1987,14
1988,37
1989,49
1990,53
1991,38
1992,30
1993,33
1994,24
1995,24
1996,14
1997,11
1998,15
1999,15
2000,31
2001,79
2002,55
2003,53
2004,58
2005,63
2006,28
2007,13
2008,22
2009,24
2010,13
2011,19
2012,22
