year,Louvenia
1880,15
1881,8
1882,5
1883,9
1884,7
1885,15
1886,12
1887,12
1888,16
1889,21
1890,12
1891,7
1892,22
1893,21
1894,18
1895,20
1896,21
1897,20
1898,21
1899,20
1900,29
1901,24
1902,20
1903,25
1904,23
1905,25
1906,24
1907,23
1908,27
1909,39
1910,29
1911,33
1912,37
1913,36
1914,46
1915,53
1916,55
1917,53
1918,66
1919,53
1920,54
1921,68
1922,51
1923,61
1924,81
1925,58
1926,76
1927,60
1928,58
1929,59
1930,57
1931,58
1932,70
1933,49
1934,68
1935,68
1936,66
1937,53
1938,49
1939,45
1940,71
1941,55
1942,70
1943,72
1944,35
1945,64
1946,65
1947,63
1948,57
1949,45
1950,72
1951,51
1952,36
1953,53
1954,58
1955,53
1956,45
1957,32
1958,30
1959,29
1960,32
1961,23
1962,24
1963,26
1964,20
1965,14
1966,14
1967,16
1968,13
1969,10
1970,14
1971,9
1972,10
1973,8
1974,11
1975,5
1976,7
1977,5
1978,9
1979,5
1980,5
1981,5
1982,5
1983,0
1984,9
1985,8
1986,8
1987,0
1988,0
1989,7
1990,0
1991,9
1992,0
1993,7
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
