year,Luvenia
1880,16
1881,6
1882,15
1883,8
1884,12
1885,20
1886,26
1887,20
1888,18
1889,28
1890,26
1891,24
1892,26
1893,30
1894,28
1895,22
1896,21
1897,25
1898,28
1899,28
1900,42
1901,23
1902,38
1903,44
1904,31
1905,41
1906,37
1907,38
1908,47
1909,50
1910,43
1911,41
1912,46
1913,62
1914,53
1915,61
1916,73
1917,61
1918,65
1919,61
1920,91
1921,68
1922,90
1923,87
1924,74
1925,98
1926,73
1927,64
1928,75
1929,67
1930,65
1931,59
1932,69
1933,54
1934,52
1935,47
1936,49
1937,54
1938,37
1939,42
1940,47
1941,30
1942,58
1943,39
1944,42
1945,43
1946,46
1947,46
1948,59
1949,44
1950,53
1951,51
1952,38
1953,47
1954,43
1955,34
1956,34
1957,26
1958,36
1959,23
1960,30
1961,29
1962,26
1963,30
1964,16
1965,16
1966,19
1967,15
1968,12
1969,11
1970,20
1971,11
1972,12
1973,11
1974,8
1975,5
1976,12
1977,6
1978,7
1979,6
1980,7
1981,0
1982,13
1983,0
1984,10
1985,8
1986,6
1987,5
1988,12
1989,6
1990,0
1991,5
1992,10
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
