year,Laszlo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,13
1958,20
1959,19
1960,20
1961,21
1962,16
1963,25
1964,16
1965,16
1966,24
1967,17
1968,18
1969,13
1970,17
1971,12
1972,13
1973,7
1974,10
1975,7
1976,6
1977,9
1978,7
1979,9
1980,12
1981,6
1982,5
1983,8
1984,8
1985,6
1986,10
1987,14
1988,0
1989,8
1990,11
1991,6
1992,11
1993,10
1994,9
1995,0
1996,7
1997,15
1998,11
1999,6
2000,8
2001,15
2002,13
2003,18
2004,9
2005,15
2006,9
2007,15
2008,21
2009,20
2010,13
2011,15
2012,18
