year,Lacy (F),Lacy (M)
1880,0.000030,0.000045
1881,0.000000,0.000052
1882,0.000000,0.000050
1883,0.000000,0.000032
1884,0.000000,0.000029
1885,0.000029,0.000050
1886,0.000023,0.000039
1887,0.000024,0.000032
1888,0.000020,0.000043
1889,0.000017,0.000035
1890,0.000036,0.000056
1891,0.000035,0.000049
1892,0.000036,0.000054
1893,0.000046,0.000031
1894,0.000041,0.000068
1895,0.000048,0.000034
1896,0.000036,0.000048
1897,0.000020,0.000055
1898,0.000042,0.000021
1899,0.000035,0.000044
1900,0.000036,0.000073
1901,0.000061,0.000046
1902,0.000031,0.000057
1903,0.000024,0.000060
1904,0.000035,0.000055
1905,0.000035,0.000042
1906,0.000035,0.000061
1907,0.000034,0.000064
1908,0.000029,0.000061
1909,0.000037,0.000045
1910,0.000044,0.000056
1911,0.000020,0.000048
1912,0.000022,0.000066
1913,0.000025,0.000053
1914,0.000016,0.000056
1915,0.000013,0.000049
1916,0.000016,0.000057
1917,0.000014,0.000055
1918,0.000013,0.000051
1919,0.000014,0.000043
1920,0.000013,0.000047
1921,0.000013,0.000050
1922,0.000011,0.000052
1923,0.000014,0.000044
1924,0.000009,0.000052
1925,0.000015,0.000052
1926,0.000006,0.000046
1927,0.000009,0.000050
1928,0.000007,0.000043
1929,0.000008,0.000045
1930,0.000005,0.000046
1931,0.000008,0.000038
1932,0.000010,0.000049
1933,0.000011,0.000037
1934,0.000005,0.000045
1935,0.000008,0.000048
1936,0.000007,0.000042
1937,0.000009,0.000047
1938,0.000008,0.000030
1939,0.000007,0.000039
1940,0.000005,0.000035
1941,0.000007,0.000038
1942,0.000008,0.000035
1943,0.000006,0.000034
1944,0.000009,0.000033
1945,0.000006,0.000025
1946,0.000003,0.000028
1947,0.000004,0.000027
1948,0.000005,0.000026
1949,0.000003,0.000022
1950,0.000004,0.000026
1951,0.000005,0.000020
1952,0.000002,0.000026
1953,0.000005,0.000019
1954,0.000005,0.000017
1955,0.000004,0.000018
1956,0.000004,0.000018
1957,0.000005,0.000018
1958,0.000005,0.000016
1959,0.000005,0.000018
1960,0.000005,0.000015
1961,0.000006,0.000014
1962,0.000012,0.000012
1963,0.000008,0.000015
1964,0.000007,0.000014
1965,0.000010,0.000017
1966,0.000009,0.000014
1967,0.000009,0.000014
1968,0.000013,0.000020
1969,0.000016,0.000014
1970,0.000021,0.000012
1971,0.000012,0.000012
1972,0.000022,0.000015
1973,0.000022,0.000013
1974,0.000022,0.000015
1975,0.000070,0.000010
1976,0.000050,0.000014
1977,0.000050,0.000011
1978,0.000143,0.000009
1979,0.000128,0.000013
1980,0.000163,0.000010
1981,0.000241,0.000008
1982,0.000281,0.000008
1983,0.000281,0.000009
1984,0.000270,0.000008
1985,0.000262,0.000009
1986,0.000240,0.000007
1987,0.000233,0.000008
1988,0.000203,0.000008
1989,0.000192,0.000009
1990,0.000191,0.000008
1991,0.000178,0.000007
1992,0.000155,0.000006
1993,0.000142,0.000006
1994,0.000116,0.000005
1995,0.000090,0.000005
1996,0.000076,0.000004
1997,0.000076,0.000004
1998,0.000063,0.000002
1999,0.000063,0.000002
2000,0.000054,0.000003
2001,0.000056,0.000002
2002,0.000050,0.000000
2003,0.000078,0.000004
2004,0.000072,0.000002
2005,0.000068,0.000000
2006,0.000062,0.000003
2007,0.000066,0.000002
2008,0.000052,0.000003
2009,0.000052,0.000003
2010,0.000046,0.000003
2011,0.000039,0.000001
2012,0.000039,0.000000
