year,Lincoln (F),Lincoln (M)
1880,0.000000,0.000050
1881,0.000000,0.000026
1882,0.000000,0.000059
1883,0.000000,0.000055
1884,0.000000,0.000000
1885,0.000000,0.000046
1886,0.000000,0.000024
1887,0.000000,0.000032
1888,0.000000,0.000050
1889,0.000000,0.000048
1890,0.000000,0.000043
1891,0.000000,0.000052
1892,0.000000,0.000051
1893,0.000000,0.000034
1894,0.000000,0.000030
1895,0.000000,0.000074
1896,0.000000,0.000036
1897,0.000000,0.000040
1898,0.000000,0.000021
1899,0.000000,0.000041
1900,0.000000,0.000044
1901,0.000000,0.000029
1902,0.000000,0.000044
1903,0.000000,0.000029
1904,0.000000,0.000037
1905,0.000000,0.000045
1906,0.000000,0.000042
1907,0.000000,0.000028
1908,0.000000,0.000041
1909,0.000000,0.000065
1910,0.000000,0.000061
1911,0.000000,0.000053
1912,0.000000,0.000050
1913,0.000000,0.000055
1914,0.000000,0.000073
1915,0.000000,0.000064
1916,0.000000,0.000068
1917,0.000000,0.000063
1918,0.000000,0.000059
1919,0.000000,0.000055
1920,0.000000,0.000061
1921,0.000000,0.000051
1922,0.000000,0.000047
1923,0.000000,0.000058
1924,0.000000,0.000065
1925,0.000000,0.000061
1926,0.000000,0.000063
1927,0.000000,0.000056
1928,0.000000,0.000057
1929,0.000000,0.000046
1930,0.000000,0.000039
1931,0.000000,0.000052
1932,0.000000,0.000045
1933,0.000000,0.000046
1934,0.000000,0.000044
1935,0.000000,0.000036
1936,0.000000,0.000035
1937,0.000000,0.000035
1938,0.000000,0.000034
1939,0.000000,0.000035
1940,0.000000,0.000030
1941,0.000000,0.000036
1942,0.000000,0.000035
1943,0.000000,0.000033
1944,0.000000,0.000028
1945,0.000000,0.000034
1946,0.000000,0.000023
1947,0.000000,0.000026
1948,0.000000,0.000022
1949,0.000000,0.000026
1950,0.000000,0.000025
1951,0.000000,0.000021
1952,0.000000,0.000025
1953,0.000000,0.000023
1954,0.000000,0.000017
1955,0.000000,0.000021
1956,0.000000,0.000017
1957,0.000000,0.000023
1958,0.000000,0.000017
1959,0.000000,0.000019
1960,0.000000,0.000020
1961,0.000000,0.000029
1962,0.000000,0.000035
1963,0.000000,0.000049
1964,0.000000,0.000052
1965,0.000000,0.000035
1966,0.000000,0.000033
1967,0.000000,0.000029
1968,0.000000,0.000021
1969,0.000000,0.000030
1970,0.000000,0.000040
1971,0.000000,0.000053
1972,0.000000,0.000045
1973,0.000000,0.000034
1974,0.000000,0.000036
1975,0.000000,0.000049
1976,0.000000,0.000050
1977,0.000000,0.000047
1978,0.000000,0.000030
1979,0.000000,0.000029
1980,0.000000,0.000028
1981,0.000000,0.000034
1982,0.000000,0.000034
1983,0.000000,0.000032
1984,0.000000,0.000040
1985,0.000001,0.000033
1986,0.000001,0.000024
1987,0.000000,0.000034
1988,0.000002,0.000033
1989,0.000000,0.000032
1990,0.000001,0.000036
1991,0.000002,0.000039
1992,0.000002,0.000041
1993,0.000003,0.000047
1994,0.000002,0.000050
1995,0.000002,0.000052
1996,0.000000,0.000041
1997,0.000002,0.000043
1998,0.000000,0.000045
1999,0.000000,0.000058
2000,0.000002,0.000065
2001,0.000002,0.000083
2002,0.000001,0.000088
2003,0.000002,0.000108
2004,0.000003,0.000108
2005,0.000003,0.000131
2006,0.000002,0.000280
2007,0.000003,0.000414
2008,0.000006,0.000463
2009,0.000006,0.000527
2010,0.000004,0.000506
2011,0.000007,0.000590
2012,0.000009,0.000797
2013,0.000017,0.001109
2014,0.000034,0.001302
2015,0.000043,0.001623
2016,0.000045,0.001945
2017,0.000067,0.002295
2018,0.000047,0.002108
2019,0.000053,0.002155
2020,0.000055,0.002117
