year,Laird
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,9
1913,0
1914,11
1915,15
1916,17
1917,20
1918,11
1919,15
1920,14
1921,15
1922,16
1923,17
1924,21
1925,11
1926,11
1927,18
1928,14
1929,22
1930,15
1931,14
1932,9
1933,11
1934,15
1935,16
1936,10
1937,29
1938,14
1939,24
1940,21
1941,12
1942,42
1943,41
1944,29
1945,29
1946,35
1947,31
1948,34
1949,46
1950,42
1951,38
1952,47
1953,35
1954,32
1955,44
1956,36
1957,45
1958,38
1959,35
1960,26
1961,33
1962,23
1963,16
1964,30
1965,16
1966,22
1967,15
1968,12
1969,24
1970,22
1971,16
1972,7
1973,14
1974,15
1975,7
1976,7
1977,10
1978,13
1979,7
1980,9
1981,5
1982,6
1983,7
1984,7
1985,0
1986,6
1987,0
1988,11
1989,0
1990,5
1991,0
1992,0
1993,6
1994,0
1995,0
1996,6
1997,0
1998,9
1999,5
2000,5
2001,8
2002,10
2003,6
2004,8
2005,25
2006,48
2007,31
2008,30
2009,25
2010,14
2011,17
2012,24
