year,Lezlie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,7
1945,5
1946,6
1947,21
1948,16
1949,20
1950,21
1951,28
1952,27
1953,37
1954,44
1955,33
1956,51
1957,94
1958,85
1959,76
1960,60
1961,77
1962,95
1963,66
1964,72
1965,61
1966,60
1967,63
1968,47
1969,45
1970,55
1971,54
1972,30
1973,28
1974,35
1975,47
1976,34
1977,29
1978,30
1979,38
1980,40
1981,25
1982,29
1983,23
1984,21
1985,31
1986,13
1987,22
1988,35
1989,14
1990,23
1991,18
1992,18
1993,27
1994,20
1995,26
1996,20
1997,10
1998,29
1999,17
2000,21
2001,23
2002,18
2003,24
2004,27
2005,23
2006,25
2007,29
2008,25
2009,12
2010,19
2011,22
2012,9
