year,Lavinia
1880,21
1881,14
1882,18
1883,20
1884,20
1885,22
1886,35
1887,20
1888,22
1889,33
1890,27
1891,27
1892,37
1893,27
1894,34
1895,32
1896,29
1897,26
1898,36
1899,25
1900,41
1901,29
1902,34
1903,25
1904,33
1905,24
1906,26
1907,32
1908,33
1909,33
1910,28
1911,24
1912,29
1913,46
1914,63
1915,67
1916,78
1917,75
1918,86
1919,82
1920,92
1921,93
1922,82
1923,89
1924,66
1925,66
1926,59
1927,70
1928,63
1929,60
1930,45
1931,48
1932,47
1933,37
1934,36
1935,44
1936,35
1937,26
1938,36
1939,27
1940,36
1941,34
1942,39
1943,20
1944,29
1945,31
1946,45
1947,36
1948,47
1949,33
1950,39
1951,32
1952,33
1953,37
1954,50
1955,25
1956,36
1957,47
1958,30
1959,33
1960,35
1961,26
1962,35
1963,40
1964,42
1965,40
1966,46
1967,42
1968,32
1969,42
1970,34
1971,32
1972,36
1973,51
1974,33
1975,34
1976,38
1977,26
1978,33
1979,32
1980,21
1981,18
1982,15
1983,21
1984,24
1985,23
1986,20
1987,22
1988,15
1989,17
1990,20
1991,21
1992,19
1993,14
1994,16
1995,18
1996,15
1997,12
1998,15
1999,21
2000,17
2001,21
2002,23
2003,20
2004,33
2005,28
2006,23
2007,36
2008,28
2009,34
2010,35
2011,39
2012,52
