year,Latonia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,6
1949,0
1950,0
1951,8
1952,6
1953,8
1954,9
1955,10
1956,11
1957,17
1958,27
1959,24
1960,43
1961,56
1962,58
1963,77
1964,98
1965,102
1966,165
1967,238
1968,244
1969,285
1970,301
1971,334
1972,371
1973,324
1974,275
1975,259
1976,233
1977,192
1978,188
1979,185
1980,115
1981,106
1982,83
1983,88
1984,70
1985,64
1986,51
1987,48
1988,38
1989,54
1990,47
1991,29
1992,15
1993,17
1994,13
1995,12
1996,12
1997,18
1998,15
1999,15
2000,13
2001,8
2002,6
2003,9
2004,5
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,5
2012,0
