year,Lilie
1880,0
1881,5
1882,0
1883,0
1884,0
1885,6
1886,5
1887,5
1888,6
1889,7
1890,11
1891,7
1892,10
1893,6
1894,13
1895,9
1896,10
1897,8
1898,8
1899,13
1900,14
1901,11
1902,5
1903,10
1904,18
1905,12
1906,13
1907,9
1908,16
1909,14
1910,23
1911,11
1912,18
1913,17
1914,16
1915,20
1916,28
1917,23
1918,24
1919,28
1920,31
1921,27
1922,26
1923,33
1924,25
1925,26
1926,17
1927,17
1928,22
1929,31
1930,12
1931,11
1932,15
1933,14
1934,14
1935,12
1936,0
1937,6
1938,12
1939,9
1940,5
1941,7
1942,10
1943,7
1944,11
1945,0
1946,0
1947,0
1948,6
1949,8
1950,0
1951,0
1952,0
1953,0
1954,7
1955,7
1956,0
1957,0
1958,0
1959,0
1960,6
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,11
1998,6
1999,12
2000,10
2001,10
2002,27
2003,34
2004,30
2005,27
2006,30
2007,31
2008,40
2009,38
2010,39
2011,35
2012,22
