year,Laureen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,7
1918,0
1919,6
1920,5
1921,0
1922,6
1923,5
1924,0
1925,9
1926,8
1927,7
1928,7
1929,5
1930,7
1931,16
1932,15
1933,18
1934,16
1935,24
1936,20
1937,24
1938,22
1939,28
1940,29
1941,31
1942,25
1943,43
1944,37
1945,122
1946,103
1947,121
1948,87
1949,136
1950,133
1951,124
1952,138
1953,147
1954,198
1955,226
1956,290
1957,291
1958,349
1959,324
1960,349
1961,319
1962,296
1963,277
1964,225
1965,223
1966,191
1967,186
1968,170
1969,150
1970,105
1971,82
1972,81
1973,45
1974,46
1975,55
1976,43
1977,35
1978,37
1979,28
1980,40
1981,49
1982,44
1983,46
1984,52
1985,51
1986,55
1987,43
1988,55
1989,60
1990,41
1991,36
1992,32
1993,28
1994,25
1995,22
1996,8
1997,17
1998,17
1999,18
2000,15
2001,18
2002,13
2003,12
2004,8
2005,7
2006,10
2007,11
2008,7
2009,12
2010,8
2011,12
2012,7
