year,Luan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,5
1927,0
1928,0
1929,0
1930,9
1931,8
1932,11
1933,12
1934,13
1935,12
1936,6
1937,8
1938,6
1939,9
1940,6
1941,10
1942,15
1943,5
1944,5
1945,0
1946,15
1947,10
1948,10
1949,11
1950,8
1951,9
1952,17
1953,21
1954,32
1955,31
1956,28
1957,21
1958,30
1959,17
1960,24
1961,15
1962,20
1963,14
1964,6
1965,9
1966,7
1967,5
1968,7
1969,8
1970,0
1971,0
1972,0
1973,0
1974,0
1975,7
1976,8
1977,5
1978,5
1979,0
1980,12
1981,7
1982,0
1983,15
1984,5
1985,11
1986,9
1987,7
1988,8
1989,5
1990,9
1991,13
1992,10
1993,6
1994,9
1995,0
1996,10
1997,15
1998,7
1999,8
2000,12
2001,7
2002,9
2003,12
2004,15
2005,14
2006,18
2007,18
2008,8
2009,11
2010,15
2011,24
2012,13
