year,Lenda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,0
1919,0
1920,0
1921,7
1922,0
1923,0
1924,7
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,13
1938,11
1939,18
1940,26
1941,29
1942,40
1943,34
1944,40
1945,23
1946,42
1947,54
1948,44
1949,41
1950,49
1951,37
1952,31
1953,30
1954,31
1955,22
1956,31
1957,18
1958,20
1959,12
1960,25
1961,17
1962,14
1963,11
1964,15
1965,13
1966,5
1967,9
1968,0
1969,0
1970,5
1971,7
1972,11
1973,0
1974,0
1975,0
1976,10
1977,0
1978,0
1979,0
1980,0
1981,9
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,6
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
