year,Lillia
1880,0
1881,7
1882,0
1883,7
1884,5
1885,8
1886,6
1887,7
1888,5
1889,7
1890,0
1891,11
1892,7
1893,8
1894,7
1895,16
1896,12
1897,6
1898,10
1899,7
1900,9
1901,6
1902,6
1903,8
1904,7
1905,7
1906,12
1907,6
1908,12
1909,9
1910,14
1911,9
1912,12
1913,13
1914,11
1915,14
1916,18
1917,13
1918,17
1919,19
1920,20
1921,23
1922,17
1923,22
1924,22
1925,21
1926,12
1927,19
1928,17
1929,24
1930,12
1931,15
1932,13
1933,10
1934,10
1935,13
1936,11
1937,21
1938,12
1939,17
1940,12
1941,8
1942,8
1943,8
1944,7
1945,5
1946,7
1947,9
1948,10
1949,9
1950,9
1951,16
1952,9
1953,5
1954,9
1955,12
1956,9
1957,9
1958,14
1959,15
1960,10
1961,9
1962,7
1963,12
1964,5
1965,7
1966,6
1967,5
1968,8
1969,5
1970,6
1971,8
1972,8
1973,0
1974,0
1975,6
1976,0
1977,6
1978,0
1979,9
1980,8
1981,9
1982,7
1983,6
1984,8
1985,5
1986,7
1987,0
1988,8
1989,9
1990,6
1991,0
1992,8
1993,8
1994,8
1995,9
1996,24
1997,19
1998,36
1999,24
2000,33
2001,22
2002,31
2003,57
2004,59
2005,63
2006,61
2007,72
2008,68
2009,56
2010,60
2011,69
2012,68
