year,Londa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,8
1917,0
1918,0
1919,0
1920,0
1921,0
1922,5
1923,0
1924,6
1925,7
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,5
1937,5
1938,11
1939,9
1940,9
1941,13
1942,15
1943,16
1944,13
1945,10
1946,21
1947,21
1948,27
1949,25
1950,33
1951,47
1952,64
1953,44
1954,32
1955,44
1956,46
1957,53
1958,53
1959,30
1960,76
1961,55
1962,51
1963,58
1964,71
1965,66
1966,56
1967,50
1968,49
1969,36
1970,42
1971,38
1972,22
1973,36
1974,28
1975,30
1976,29
1977,27
1978,20
1979,19
1980,19
1981,17
1982,16
1983,10
1984,7
1985,14
1986,7
1987,7
1988,9
1989,7
1990,8
1991,5
1992,6
1993,0
1994,0
1995,6
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
