year,Lida
1880,49
1881,57
1882,73
1883,62
1884,57
1885,68
1886,64
1887,72
1888,84
1889,78
1890,70
1891,89
1892,68
1893,61
1894,61
1895,54
1896,73
1897,83
1898,72
1899,63
1900,55
1901,40
1902,63
1903,38
1904,62
1905,47
1906,50
1907,40
1908,52
1909,58
1910,47
1911,45
1912,67
1913,66
1914,86
1915,119
1916,115
1917,102
1918,125
1919,108
1920,99
1921,83
1922,70
1923,104
1924,67
1925,84
1926,79
1927,71
1928,83
1929,71
1930,57
1931,54
1932,59
1933,63
1934,54
1935,47
1936,43
1937,63
1938,43
1939,56
1940,41
1941,45
1942,46
1943,35
1944,46
1945,36
1946,37
1947,53
1948,39
1949,39
1950,42
1951,43
1952,37
1953,53
1954,41
1955,30
1956,32
1957,27
1958,25
1959,26
1960,22
1961,35
1962,24
1963,32
1964,35
1965,25
1966,17
1967,19
1968,28
1969,22
1970,30
1971,23
1972,17
1973,13
1974,20
1975,14
1976,10
1977,19
1978,13
1979,16
1980,17
1981,11
1982,16
1983,19
1984,13
1985,17
1986,24
1987,12
1988,14
1989,18
1990,15
1991,12
1992,18
1993,10
1994,12
1995,14
1996,11
1997,13
1998,14
1999,14
2000,15
2001,10
2002,14
2003,14
2004,12
2005,14
2006,17
2007,16
2008,9
2009,15
2010,16
2011,14
2012,10
