year,Lauran
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,11
1946,5
1947,0
1948,0
1949,11
1950,10
1951,9
1952,8
1953,5
1954,7
1955,10
1956,9
1957,11
1958,17
1959,17
1960,19
1961,18
1962,13
1963,12
1964,15
1965,16
1966,6
1967,5
1968,9
1969,12
1970,7
1971,10
1972,6
1973,8
1974,0
1975,6
1976,8
1977,10
1978,15
1979,17
1980,21
1981,35
1982,29
1983,36
1984,46
1985,46
1986,53
1987,46
1988,57
1989,69
1990,53
1991,48
1992,61
1993,49
1994,45
1995,35
1996,28
1997,20
1998,32
1999,43
2000,37
2001,39
2002,31
2003,22
2004,25
2005,13
2006,10
2007,6
2008,18
2009,16
2010,8
2011,8
2012,8
