year,Luana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,5
1914,6
1915,12
1916,20
1917,21
1918,27
1919,13
1920,23
1921,23
1922,21
1923,22
1924,17
1925,20
1926,22
1927,24
1928,22
1929,21
1930,28
1931,18
1932,27
1933,36
1934,31
1935,32
1936,30
1937,30
1938,31
1939,46
1940,35
1941,41
1942,43
1943,71
1944,51
1945,46
1946,91
1947,164
1948,130
1949,113
1950,75
1951,62
1952,48
1953,37
1954,76
1955,67
1956,43
1957,73
1958,82
1959,61
1960,96
1961,91
1962,96
1963,50
1964,60
1965,41
1966,43
1967,51
1968,41
1969,32
1970,39
1971,43
1972,36
1973,33
1974,29
1975,20
1976,30
1977,20
1978,28
1979,26
1980,29
1981,32
1982,28
1983,13
1984,13
1985,13
1986,15
1987,19
1988,22
1989,25
1990,14
1991,15
1992,20
1993,15
1994,9
1995,23
1996,24
1997,16
1998,18
1999,18
2000,23
2001,21
2002,39
2003,21
2004,42
2005,40
2006,46
2007,42
2008,43
2009,38
2010,37
2011,39
2012,37
