year,Lucila
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,5
1916,0
1917,0
1918,7
1919,6
1920,8
1921,7
1922,13
1923,9
1924,12
1925,23
1926,12
1927,14
1928,17
1929,16
1930,19
1931,9
1932,15
1933,13
1934,29
1935,19
1936,15
1937,16
1938,10
1939,9
1940,13
1941,15
1942,20
1943,14
1944,19
1945,19
1946,21
1947,21
1948,22
1949,19
1950,25
1951,24
1952,19
1953,34
1954,33
1955,36
1956,23
1957,27
1958,22
1959,15
1960,23
1961,32
1962,25
1963,24
1964,33
1965,26
1966,21
1967,32
1968,27
1969,30
1970,23
1971,25
1972,24
1973,33
1974,31
1975,28
1976,33
1977,21
1978,28
1979,40
1980,38
1981,35
1982,40
1983,27
1984,30
1985,31
1986,33
1987,37
1988,26
1989,33
1990,27
1991,37
1992,34
1993,36
1994,34
1995,35
1996,33
1997,24
1998,18
1999,22
2000,25
2001,30
2002,20
2003,28
2004,29
2005,27
2006,19
2007,23
2008,20
2009,21
2010,22
2011,17
2012,14
