year,Lisabeth
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,0
1942,10
1943,0
1944,6
1945,0
1946,11
1947,21
1948,14
1949,12
1950,19
1951,22
1952,31
1953,23
1954,30
1955,36
1956,37
1957,32
1958,61
1959,41
1960,32
1961,34
1962,44
1963,43
1964,47
1965,45
1966,24
1967,42
1968,27
1969,47
1970,32
1971,17
1972,18
1973,22
1974,14
1975,15
1976,24
1977,18
1978,15
1979,11
1980,19
1981,20
1982,13
1983,15
1984,20
1985,9
1986,9
1987,21
1988,8
1989,15
1990,13
1991,12
1992,9
1993,12
1994,8
1995,7
1996,7
1997,6
1998,6
1999,0
2000,5
2001,0
2002,7
2003,0
2004,0
2005,5
2006,6
2007,0
2008,5
2009,7
2010,0
2011,6
2012,5
