year,Loyde
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,6
1915,5
1916,6
1917,7
1918,13
1919,19
1920,7
1921,18
1922,14
1923,12
1924,11
1925,15
1926,21
1927,13
1928,18
1929,15
1930,19
1931,13
1932,11
1933,18
1934,17
1935,8
1936,10
1937,15
1938,20
1939,17
1940,7
1941,14
1942,10
1943,14
1944,6
1945,8
1946,13
1947,12
1948,13
1949,13
1950,14
1951,7
1952,9
1953,10
1954,6
1955,0
1956,7
1957,11
1958,5
1959,9
1960,0
1961,9
1962,0
1963,6
1964,6
1965,7
1966,6
1967,5
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
