year,Laurette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,6
1895,10
1896,10
1897,14
1898,13
1899,10
1900,9
1901,7
1902,8
1903,16
1904,20
1905,10
1906,8
1907,15
1908,17
1909,14
1910,7
1911,22
1912,29
1913,37
1914,43
1915,36
1916,49
1917,42
1918,54
1919,51
1920,48
1921,60
1922,64
1923,71
1924,56
1925,61
1926,57
1927,64
1928,39
1929,45
1930,44
1931,46
1932,38
1933,31
1934,36
1935,35
1936,35
1937,23
1938,31
1939,21
1940,40
1941,29
1942,34
1943,36
1944,29
1945,33
1946,42
1947,41
1948,33
1949,36
1950,42
1951,65
1952,54
1953,41
1954,30
1955,63
1956,85
1957,59
1958,73
1959,68
1960,79
1961,64
1962,61
1963,53
1964,49
1965,57
1966,45
1967,27
1968,24
1969,34
1970,28
1971,11
1972,19
1973,11
1974,13
1975,8
1976,14
1977,7
1978,8
1979,11
1980,6
1981,10
1982,7
1983,8
1984,10
1985,5
1986,10
1987,0
1988,0
1989,5
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
