year,Lavena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,5
1902,7
1903,0
1904,0
1905,7
1906,0
1907,5
1908,7
1909,6
1910,0
1911,10
1912,8
1913,9
1914,9
1915,22
1916,27
1917,18
1918,20
1919,19
1920,27
1921,24
1922,32
1923,25
1924,25
1925,20
1926,18
1927,29
1928,21
1929,22
1930,13
1931,19
1932,19
1933,21
1934,13
1935,19
1936,18
1937,18
1938,16
1939,9
1940,10
1941,7
1942,16
1943,11
1944,12
1945,18
1946,10
1947,13
1948,18
1949,10
1950,7
1951,11
1952,10
1953,5
1954,8
1955,10
1956,8
1957,18
1958,18
1959,8
1960,12
1961,15
1962,18
1963,15
1964,12
1965,9
1966,15
1967,7
1968,12
1969,12
1970,12
1971,10
1972,13
1973,9
1974,8
1975,11
1976,10
1977,7
1978,6
1979,10
1980,7
1981,12
1982,9
1983,5
1984,14
1985,0
1986,6
1987,5
1988,9
1989,0
1990,6
1991,6
1992,0
1993,5
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,8
2008,9
2009,5
2010,0
2011,0
2012,0
