year,Lurdes
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,0
1955,0
1956,0
1957,0
1958,0
1959,7
1960,7
1961,7
1962,11
1963,12
1964,11
1965,7
1966,13
1967,7
1968,14
1969,16
1970,12
1971,13
1972,9
1973,11
1974,6
1975,12
1976,13
1977,17
1978,5
1979,9
1980,11
1981,11
1982,10
1983,13
1984,6
1985,8
1986,6
1987,6
1988,0
1989,0
1990,15
1991,10
1992,15
1993,0
1994,8
1995,6
1996,7
1997,9
1998,10
1999,11
2000,0
2001,0
2002,0
2003,0
2004,7
2005,5
2006,5
2007,5
2008,0
2009,9
2010,0
2011,5
2012,0
