year,Leontine
1880,0
1881,0
1882,0
1883,6
1884,5
1885,0
1886,10
1887,11
1888,9
1889,12
1890,9
1891,10
1892,16
1893,10
1894,0
1895,15
1896,12
1897,12
1898,21
1899,12
1900,22
1901,14
1902,10
1903,20
1904,10
1905,15
1906,15
1907,16
1908,12
1909,9
1910,13
1911,14
1912,12
1913,25
1914,21
1915,20
1916,27
1917,31
1918,32
1919,22
1920,32
1921,31
1922,26
1923,32
1924,25
1925,17
1926,30
1927,12
1928,22
1929,14
1930,27
1931,18
1932,19
1933,12
1934,14
1935,11
1936,12
1937,11
1938,9
1939,8
1940,8
1941,14
1942,11
1943,9
1944,11
1945,8
1946,12
1947,13
1948,6
1949,10
1950,5
1951,6
1952,12
1953,10
1954,7
1955,0
1956,10
1957,10
1958,5
1959,0
1960,8
1961,0
1962,5
1963,0
1964,0
1965,0
1966,6
1967,7
1968,0
1969,9
1970,6
1971,0
1972,0
1973,0
1974,5
1975,7
1976,0
1977,0
1978,7
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
