year,Leanord
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,7
1915,14
1916,15
1917,10
1918,15
1919,19
1920,15
1921,17
1922,19
1923,15
1924,20
1925,17
1926,15
1927,14
1928,9
1929,14
1930,12
1931,9
1932,10
1933,13
1934,14
1935,14
1936,17
1937,10
1938,12
1939,17
1940,10
1941,8
1942,15
1943,8
1944,9
1945,13
1946,11
1947,10
1948,9
1949,8
1950,8
1951,10
1952,5
1953,11
1954,0
1955,7
1956,13
1957,5
1958,10
1959,0
1960,8
1961,10
1962,9
1963,6
1964,6
1965,0
1966,7
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,7
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
