year,Leisa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,6
1949,11
1950,8
1951,14
1952,33
1953,30
1954,45
1955,67
1956,116
1957,285
1958,344
1959,270
1960,298
1961,323
1962,317
1963,300
1964,265
1965,253
1966,241
1967,235
1968,209
1969,163
1970,133
1971,116
1972,65
1973,57
1974,50
1975,42
1976,44
1977,43
1978,54
1979,36
1980,52
1981,37
1982,32
1983,35
1984,32
1985,28
1986,21
1987,27
1988,20
1989,24
1990,21
1991,24
1992,9
1993,14
1994,11
1995,13
1996,8
1997,7
1998,5
1999,0
2000,9
2001,12
2002,0
2003,0
2004,0
2005,8
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
