year,Lorita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,7
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,0
1914,0
1915,14
1916,11
1917,13
1918,13
1919,12
1920,11
1921,15
1922,9
1923,18
1924,9
1925,22
1926,11
1927,19
1928,28
1929,26
1930,30
1931,25
1932,31
1933,25
1934,23
1935,38
1936,21
1937,37
1938,31
1939,26
1940,34
1941,28
1942,27
1943,31
1944,43
1945,29
1946,24
1947,24
1948,27
1949,43
1950,24
1951,28
1952,42
1953,30
1954,34
1955,40
1956,32
1957,39
1958,37
1959,26
1960,40
1961,27
1962,34
1963,38
1964,22
1965,29
1966,40
1967,23
1968,26
1969,27
1970,25
1971,31
1972,17
1973,18
1974,22
1975,17
1976,13
1977,12
1978,15
1979,14
1980,10
1981,10
1982,13
1983,0
1984,9
1985,0
1986,6
1987,8
1988,7
1989,0
1990,7
1991,5
1992,6
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
