year,Leoma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,8
1895,0
1896,0
1897,6
1898,11
1899,6
1900,12
1901,13
1902,8
1903,8
1904,9
1905,7
1906,9
1907,12
1908,17
1909,14
1910,12
1911,10
1912,19
1913,25
1914,30
1915,35
1916,31
1917,28
1918,37
1919,42
1920,43
1921,36
1922,43
1923,34
1924,40
1925,33
1926,27
1927,40
1928,28
1929,28
1930,22
1931,21
1932,29
1933,28
1934,25
1935,19
1936,21
1937,19
1938,15
1939,16
1940,6
1941,20
1942,19
1943,13
1944,14
1945,12
1946,6
1947,19
1948,10
1949,6
1950,10
1951,12
1952,14
1953,16
1954,14
1955,12
1956,6
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,6
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
