year,Lasonya
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,6
1959,0
1960,9
1961,18
1962,15
1963,21
1964,36
1965,39
1966,55
1967,56
1968,67
1969,70
1970,91
1971,128
1972,124
1973,98
1974,104
1975,79
1976,71
1977,69
1978,64
1979,64
1980,45
1981,54
1982,37
1983,40
1984,35
1985,35
1986,23
1987,24
1988,17
1989,26
1990,20
1991,17
1992,9
1993,0
1994,5
1995,6
1996,12
1997,0
1998,0
1999,0
2000,6
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
