year,Leif (F),Leif (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000007
1913,0.000000,0.000011
1914,0.000000,0.000010
1915,0.000000,0.000011
1916,0.000000,0.000009
1917,0.000000,0.000008
1918,0.000000,0.000008
1919,0.000000,0.000009
1920,0.000000,0.000003
1921,0.000000,0.000006
1922,0.000000,0.000006
1923,0.000000,0.000005
1924,0.000000,0.000005
1925,0.000000,0.000006
1926,0.000000,0.000007
1927,0.000000,0.000004
1928,0.000000,0.000006
1929,0.000000,0.000007
1930,0.000000,0.000004
1931,0.000000,0.000007
1932,0.000000,0.000006
1933,0.000000,0.000004
1934,0.000000,0.000004
1935,0.000000,0.000003
1936,0.000000,0.000004
1937,0.000000,0.000006
1938,0.000000,0.000006
1939,0.000000,0.000009
1940,0.000000,0.000007
1941,0.000000,0.000005
1942,0.000000,0.000007
1943,0.000000,0.000006
1944,0.000000,0.000005
1945,0.000000,0.000006
1946,0.000000,0.000006
1947,0.000000,0.000006
1948,0.000000,0.000007
1949,0.000000,0.000011
1950,0.000000,0.000011
1951,0.000000,0.000005
1952,0.000000,0.000009
1953,0.000000,0.000012
1954,0.000000,0.000012
1955,0.000000,0.000010
1956,0.000000,0.000011
1957,0.000000,0.000014
1958,0.000000,0.000012
1959,0.000000,0.000015
1960,0.000000,0.000019
1961,0.000000,0.000019
1962,0.000000,0.000019
1963,0.000000,0.000022
1964,0.000000,0.000020
1965,0.000000,0.000023
1966,0.000000,0.000021
1967,0.000000,0.000028
1968,0.000000,0.000030
1969,0.000000,0.000039
1970,0.000000,0.000044
1971,0.000000,0.000034
1972,0.000000,0.000035
1973,0.000000,0.000031
1974,0.000000,0.000032
1975,0.000000,0.000036
1976,0.000000,0.000030
1977,0.000000,0.000026
1978,0.000000,0.000039
1979,0.000000,0.000054
1980,0.000000,0.000049
1981,0.000001,0.000045
1982,0.000000,0.000047
1983,0.000000,0.000039
1984,0.000000,0.000032
1985,0.000000,0.000031
1986,0.000000,0.000032
1987,0.000000,0.000027
1988,0.000000,0.000025
1989,0.000000,0.000021
1990,0.000000,0.000022
1991,0.000000,0.000025
1992,0.000000,0.000021
1993,0.000000,0.000020
1994,0.000000,0.000023
1995,0.000000,0.000022
1996,0.000000,0.000024
1997,0.000000,0.000022
1998,0.000000,0.000025
1999,0.000000,0.000031
2000,0.000000,0.000033
2001,0.000000,0.000032
2002,0.000000,0.000027
2003,0.000000,0.000036
2004,0.000000,0.000030
2005,0.000000,0.000040
2006,0.000000,0.000034
2007,0.000000,0.000032
2008,0.000000,0.000036
2009,0.000000,0.000046
2010,0.000000,0.000047
2011,0.000000,0.000051
2012,0.000000,0.000049
2013,0.000000,0.000053
