year,Lajuana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,6
1924,0
1925,0
1926,8
1927,6
1928,11
1929,9
1930,15
1931,13
1932,14
1933,24
1934,20
1935,17
1936,22
1937,16
1938,24
1939,23
1940,22
1941,23
1942,16
1943,17
1944,13
1945,24
1946,24
1947,19
1948,34
1949,32
1950,24
1951,24
1952,45
1953,35
1954,36
1955,45
1956,46
1957,49
1958,51
1959,39
1960,55
1961,55
1962,52
1963,49
1964,47
1965,41
1966,47
1967,45
1968,38
1969,39
1970,49
1971,61
1972,52
1973,46
1974,47
1975,37
1976,25
1977,23
1978,22
1979,26
1980,20
1981,16
1982,21
1983,13
1984,15
1985,11
1986,13
1987,6
1988,11
1989,8
1990,12
1991,10
1992,7
1993,0
1994,8
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
