year,Latosha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,5
1965,7
1966,14
1967,19
1968,26
1969,36
1970,70
1971,116
1972,158
1973,254
1974,296
1975,336
1976,354
1977,410
1978,435
1979,482
1980,407
1981,380
1982,325
1983,250
1984,289
1985,254
1986,244
1987,198
1988,197
1989,194
1990,151
1991,111
1992,102
1993,68
1994,50
1995,41
1996,39
1997,16
1998,16
1999,11
2000,10
2001,12
2002,7
2003,11
2004,0
2005,6
2006,7
2007,5
2008,0
2009,0
2010,7
2011,5
2012,5
