year,Laticia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,6
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,7
1958,0
1959,10
1960,12
1961,20
1962,15
1963,17
1964,14
1965,30
1966,36
1967,25
1968,31
1969,54
1970,80
1971,101
1972,89
1973,94
1974,82
1975,93
1976,65
1977,88
1978,69
1979,82
1980,71
1981,92
1982,76
1983,73
1984,60
1985,71
1986,60
1987,50
1988,55
1989,68
1990,62
1991,55
1992,42
1993,43
1994,32
1995,23
1996,27
1997,22
1998,24
1999,19
2000,24
2001,17
2002,23
2003,20
2004,21
2005,18
2006,12
2007,14
2008,8
2009,10
2010,9
2011,0
2012,10
