year,Ladona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,0
1923,7
1924,9
1925,0
1926,8
1927,0
1928,6
1929,7
1930,9
1931,9
1932,11
1933,13
1934,8
1935,7
1936,0
1937,9
1938,8
1939,18
1940,7
1941,9
1942,13
1943,9
1944,6
1945,7
1946,7
1947,12
1948,8
1949,13
1950,17
1951,10
1952,13
1953,11
1954,13
1955,16
1956,21
1957,13
1958,12
1959,22
1960,11
1961,15
1962,21
1963,0
1964,22
1965,23
1966,19
1967,10
1968,15
1969,15
1970,24
1971,20
1972,14
1973,17
1974,11
1975,11
1976,9
1977,13
1978,8
1979,10
1980,11
1981,10
1982,7
1983,5
1984,9
1985,0
1986,6
1987,6
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
