year,Lotta
1880,12
1881,16
1882,21
1883,25
1884,17
1885,20
1886,20
1887,16
1888,19
1889,12
1890,10
1891,13
1892,15
1893,9
1894,6
1895,7
1896,7
1897,0
1898,5
1899,9
1900,10
1901,7
1902,8
1903,9
1904,5
1905,5
1906,8
1907,0
1908,5
1909,0
1910,5
1911,7
1912,6
1913,5
1914,10
1915,8
1916,6
1917,13
1918,7
1919,0
1920,9
1921,11
1922,5
1923,0
1924,11
1925,8
1926,5
1927,0
1928,7
1929,0
1930,6
1931,0
1932,0
1933,7
1934,0
1935,0
1936,5
1937,5
1938,0
1939,0
1940,5
1941,0
1942,0
1943,0
1944,0
1945,0
1946,5
1947,0
1948,0
1949,0
1950,0
1951,0
1952,9
1953,0
1954,0
1955,5
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,7
2010,0
2011,0
2012,0
