year,Lenton
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,9
1914,8
1915,6
1916,5
1917,8
1918,12
1919,16
1920,14
1921,11
1922,21
1923,15
1924,13
1925,13
1926,11
1927,15
1928,9
1929,13
1930,12
1931,8
1932,11
1933,7
1934,11
1935,14
1936,17
1937,10
1938,9
1939,11
1940,12
1941,11
1942,7
1943,15
1944,9
1945,9
1946,11
1947,10
1948,12
1949,15
1950,10
1951,7
1952,8
1953,11
1954,20
1955,11
1956,14
1957,7
1958,8
1959,8
1960,6
1961,8
1962,0
1963,12
1964,9
1965,6
1966,7
1967,7
1968,0
1969,0
1970,5
1971,7
1972,0
1973,6
1974,6
1975,0
1976,0
1977,6
1978,5
1979,0
1980,0
1981,0
1982,6
1983,5
1984,0
1985,5
1986,0
1987,6
1988,0
1989,0
1990,6
1991,0
1992,9
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
