year,Lanita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,7
1915,5
1916,0
1917,0
1918,7
1919,0
1920,0
1921,0
1922,8
1923,0
1924,7
1925,13
1926,17
1927,11
1928,12
1929,13
1930,9
1931,7
1932,12
1933,9
1934,15
1935,14
1936,8
1937,21
1938,24
1939,24
1940,21
1941,27
1942,38
1943,37
1944,17
1945,24
1946,37
1947,46
1948,36
1949,37
1950,42
1951,38
1952,42
1953,42
1954,58
1955,73
1956,60
1957,70
1958,114
1959,77
1960,86
1961,82
1962,93
1963,105
1964,74
1965,86
1966,67
1967,83
1968,59
1969,71
1970,84
1971,60
1972,63
1973,58
1974,80
1975,73
1976,64
1977,84
1978,72
1979,79
1980,69
1981,57
1982,49
1983,56
1984,56
1985,50
1986,56
1987,38
1988,44
1989,38
1990,33
1991,43
1992,37
1993,25
1994,13
1995,9
1996,15
1997,18
1998,16
1999,17
2000,16
2001,17
2002,14
2003,13
2004,13
2005,5
2006,13
2007,19
2008,12
2009,17
2010,8
2011,8
2012,12
