year,Lulu
1880,249
1881,313
1882,279
1883,302
1884,344
1885,360
1886,376
1887,322
1888,367
1889,341
1890,364
1891,315
1892,325
1893,304
1894,278
1895,258
1896,228
1897,199
1898,209
1899,179
1900,196
1901,135
1902,161
1903,122
1904,151
1905,126
1906,115
1907,127
1908,120
1909,123
1910,112
1911,82
1912,125
1913,110
1914,158
1915,167
1916,198
1917,166
1918,183
1919,183
1920,177
1921,160
1922,133
1923,137
1924,113
1925,114
1926,115
1927,114
1928,79
1929,78
1930,71
1931,57
1932,65
1933,42
1934,66
1935,86
1936,91
1937,51
1938,64
1939,54
1940,41
1941,42
1942,26
1943,27
1944,28
1945,16
1946,21
1947,22
1948,24
1949,29
1950,22
1951,15
1952,22
1953,17
1954,24
1955,19
1956,20
1957,22
1958,23
1959,29
1960,17
1961,18
1962,18
1963,11
1964,14
1965,16
1966,12
1967,14
1968,15
1969,10
1970,12
1971,15
1972,16
1973,14
1974,14
1975,7
1976,7
1977,8
1978,6
1979,12
1980,0
1981,6
1982,6
1983,8
1984,6
1985,0
1986,0
1987,0
1988,5
1989,0
1990,6
1991,11
1992,0
1993,6
1994,7
1995,9
1996,5
1997,6
1998,14
1999,15
2000,14
2001,16
2002,17
2003,25
2004,22
2005,26
2006,31
2007,50
2008,59
2009,41
2010,51
2011,54
2012,54
