year,Lynna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,5
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,5
1928,0
1929,5
1930,8
1931,0
1932,0
1933,0
1934,8
1935,0
1936,5
1937,11
1938,13
1939,14
1940,10
1941,7
1942,7
1943,20
1944,17
1945,17
1946,21
1947,25
1948,29
1949,24
1950,29
1951,34
1952,27
1953,27
1954,24
1955,29
1956,18
1957,29
1958,29
1959,28
1960,22
1961,37
1962,23
1963,40
1964,23
1965,23
1966,17
1967,29
1968,21
1969,23
1970,40
1971,27
1972,27
1973,22
1974,30
1975,36
1976,17
1977,27
1978,18
1979,9
1980,19
1981,17
1982,18
1983,15
1984,15
1985,21
1986,26
1987,27
1988,16
1989,16
1990,25
1991,16
1992,18
1993,11
1994,15
1995,21
1996,12
1997,19
1998,14
1999,14
2000,11
2001,9
2002,15
2003,18
2004,21
2005,18
2006,14
2007,18
2008,15
2009,16
2010,13
2011,17
2012,12
