year,Lovely
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,6
1919,8
1920,6
1921,8
1922,0
1923,5
1924,8
1925,7
1926,8
1927,0
1928,0
1929,0
1930,0
1931,0
1932,5
1933,5
1934,0
1935,6
1936,7
1937,7
1938,6
1939,0
1940,5
1941,0
1942,0
1943,7
1944,5
1945,0
1946,5
1947,8
1948,0
1949,12
1950,7
1951,0
1952,8
1953,0
1954,0
1955,10
1956,0
1957,11
1958,7
1959,6
1960,8
1961,0
1962,5
1963,6
1964,0
1965,0
1966,6
1967,0
1968,0
1969,0
1970,8
1971,7
1972,6
1973,12
1974,0
1975,0
1976,9
1977,13
1978,19
1979,14
1980,16
1981,16
1982,15
1983,12
1984,16
1985,17
1986,23
1987,17
1988,17
1989,10
1990,20
1991,19
1992,18
1993,18
1994,27
1995,18
1996,27
1997,25
1998,34
1999,35
2000,35
2001,30
2002,39
2003,32
2004,35
2005,45
2006,40
2007,43
2008,45
2009,87
2010,84
2011,56
2012,82
