year,Lisamarie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,7
1960,9
1961,15
1962,11
1963,25
1964,29
1965,26
1966,33
1967,24
1968,34
1969,44
1970,32
1971,32
1972,23
1973,26
1974,23
1975,26
1976,24
1977,37
1978,47
1979,56
1980,59
1981,51
1982,57
1983,55
1984,58
1985,54
1986,55
1987,84
1988,75
1989,82
1990,52
1991,49
1992,40
1993,48
1994,45
1995,36
1996,28
1997,26
1998,28
1999,17
2000,14
2001,18
2002,14
2003,20
2004,19
2005,16
2006,16
2007,12
2008,16
2009,10
2010,7
2011,10
2012,7
