year,Lizette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,9
1947,10
1948,8
1949,5
1950,9
1951,12
1952,12
1953,16
1954,18
1955,24
1956,28
1957,29
1958,42
1959,44
1960,48
1961,44
1962,60
1963,92
1964,74
1965,112
1966,148
1967,198
1968,205
1969,165
1970,119
1971,111
1972,88
1973,101
1974,74
1975,88
1976,116
1977,139
1978,164
1979,161
1980,187
1981,165
1982,198
1983,196
1984,208
1985,254
1986,273
1987,252
1988,314
1989,412
1990,357
1991,351
1992,322
1993,297
1994,272
1995,318
1996,270
1997,289
1998,334
1999,506
2000,329
2001,335
2002,291
2003,292
2004,332
2005,290
2006,237
2007,192
2008,190
2009,189
2010,190
2011,150
2012,104
