year,Loa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,8
1895,0
1896,0
1897,5
1898,0
1899,5
1900,5
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,8
1912,5
1913,6
1914,8
1915,9
1916,12
1917,19
1918,17
1919,13
1920,22
1921,13
1922,15
1923,12
1924,29
1925,20
1926,17
1927,11
1928,17
1929,16
1930,10
1931,13
1932,10
1933,19
1934,16
1935,14
1936,24
1937,15
1938,21
1939,22
1940,14
1941,9
1942,16
1943,17
1944,9
1945,12
1946,7
1947,13
1948,14
1949,9
1950,8
1951,10
1952,10
1953,12
1954,9
1955,9
1956,5
1957,8
1958,7
1959,6
1960,9
1961,10
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,8
2009,0
2010,6
2011,8
2012,12
