year,Luther (F),Luther (M)
1880,0.000000,0.001290
1881,0.000000,0.001292
1882,0.000000,0.001282
1883,0.000000,0.001056
1884,0.000000,0.001121
1885,0.000000,0.001075
1886,0.000000,0.000991
1887,0.000000,0.001079
1888,0.000000,0.000918
1889,0.000000,0.000934
1890,0.000000,0.000839
1891,0.000000,0.000823
1892,0.000000,0.000882
1893,0.000000,0.000833
1894,0.000000,0.000841
1895,0.000000,0.000766
1896,0.000000,0.000741
1897,0.000000,0.000781
1898,0.000000,0.000721
1899,0.000000,0.000731
1900,0.000000,0.000702
1901,0.000000,0.000706
1902,0.000000,0.000688
1903,0.000000,0.000695
1904,0.000000,0.000709
1905,0.000000,0.000727
1906,0.000000,0.000611
1907,0.000011,0.000602
1908,0.000000,0.000598
1909,0.000000,0.000679
1910,0.000000,0.000648
1911,0.000009,0.000612
1912,0.000000,0.000672
1913,0.000006,0.000657
1914,0.000005,0.000700
1915,0.000004,0.000654
1916,0.000003,0.000665
1917,0.000005,0.000650
1918,0.000004,0.000652
1919,0.000007,0.000653
1920,0.000005,0.000609
1921,0.000005,0.000622
1922,0.000006,0.000645
1923,0.000006,0.000579
1924,0.000007,0.000586
1925,0.000008,0.000571
1926,0.000010,0.000564
1927,0.000009,0.000542
1928,0.000009,0.000510
1929,0.000008,0.000511
1930,0.000007,0.000499
1931,0.000006,0.000455
1932,0.000006,0.000455
1933,0.000004,0.000439
1934,0.000004,0.000415
1935,0.000006,0.000398
1936,0.000000,0.000387
1937,0.000003,0.000405
1938,0.000002,0.000374
1939,0.000004,0.000347
1940,0.000004,0.000358
1941,0.000003,0.000346
1942,0.000002,0.000314
1943,0.000002,0.000299
1944,0.000002,0.000317
1945,0.000002,0.000267
1946,0.000000,0.000253
1947,0.000000,0.000229
1948,0.000002,0.000241
1949,0.000001,0.000214
1950,0.000002,0.000217
1951,0.000000,0.000185
1952,0.000002,0.000195
1953,0.000001,0.000178
1954,0.000002,0.000168
1955,0.000001,0.000173
1956,0.000000,0.000148
1957,0.000000,0.000139
1958,0.000002,0.000127
1959,0.000000,0.000125
1960,0.000000,0.000127
1961,0.000000,0.000119
1962,0.000000,0.000114
1963,0.000000,0.000112
1964,0.000000,0.000115
1965,0.000000,0.000109
1966,0.000002,0.000105
1967,0.000001,0.000084
1968,0.000000,0.000094
1969,0.000001,0.000096
1970,0.000000,0.000096
1971,0.000000,0.000092
1972,0.000000,0.000093
1973,0.000000,0.000082
1974,0.000000,0.000080
1975,0.000000,0.000078
1976,0.000000,0.000080
1977,0.000000,0.000074
1978,0.000000,0.000069
1979,0.000000,0.000071
1980,0.000000,0.000060
1981,0.000000,0.000067
1982,0.000000,0.000065
1983,0.000000,0.000061
1984,0.000000,0.000052
1985,0.000000,0.000048
1986,0.000000,0.000052
1987,0.000000,0.000043
1988,0.000000,0.000047
1989,0.000000,0.000049
1990,0.000000,0.000045
1991,0.000000,0.000037
1992,0.000000,0.000035
1993,0.000000,0.000039
1994,0.000000,0.000034
1995,0.000000,0.000029
1996,0.000000,0.000028
1997,0.000000,0.000028
1998,0.000000,0.000029
1999,0.000000,0.000024
2000,0.000000,0.000027
2001,0.000000,0.000024
2002,0.000000,0.000023
2003,0.000000,0.000021
2004,0.000000,0.000018
2005,0.000000,0.000026
2006,0.000000,0.000023
2007,0.000000,0.000021
2008,0.000000,0.000022
2009,0.000000,0.000020
2010,0.000000,0.000020
2011,0.000000,0.000022
2012,0.000000,0.000022
2013,0.000000,0.000024
2014,0.000000,0.000027
2015,0.000000,0.000027
2016,0.000000,0.000027
2017,0.000000,0.000028
2018,0.000000,0.000032
2019,0.000000,0.000037
2020,0.000000,0.000034
