year,Leander (F),Leander (M)
1880,0.000000,0.000084
1881,0.000000,0.000109
1882,0.000000,0.000126
1883,0.000000,0.000083
1884,0.000000,0.000086
1885,0.000000,0.000066
1886,0.000000,0.000067
1887,0.000000,0.000032
1888,0.000000,0.000000
1889,0.000000,0.000076
1890,0.000000,0.000066
1891,0.000000,0.000038
1892,0.000000,0.000048
1893,0.000000,0.000034
1894,0.000000,0.000030
1895,0.000000,0.000026
1896,0.000000,0.000036
1897,0.000000,0.000043
1898,0.000000,0.000024
1899,0.000000,0.000021
1900,0.000000,0.000036
1901,0.000000,0.000017
1902,0.000000,0.000034
1903,0.000000,0.000031
1904,0.000000,0.000020
1905,0.000000,0.000026
1906,0.000000,0.000026
1907,0.000000,0.000041
1908,0.000000,0.000047
1909,0.000000,0.000031
1910,0.000000,0.000027
1911,0.000000,0.000039
1912,0.000000,0.000035
1913,0.000000,0.000038
1914,0.000000,0.000051
1915,0.000000,0.000037
1916,0.000000,0.000035
1917,0.000000,0.000041
1918,0.000000,0.000043
1919,0.000002,0.000039
1920,0.000000,0.000040
1921,0.000000,0.000042
1922,0.000000,0.000036
1923,0.000000,0.000040
1924,0.000000,0.000035
1925,0.000000,0.000031
1926,0.000000,0.000032
1927,0.000000,0.000033
1928,0.000000,0.000031
1929,0.000000,0.000027
1930,0.000000,0.000027
1931,0.000000,0.000024
1932,0.000000,0.000033
1933,0.000000,0.000025
1934,0.000000,0.000026
1935,0.000000,0.000030
1936,0.000000,0.000022
1937,0.000000,0.000024
1938,0.000000,0.000019
1939,0.000000,0.000019
1940,0.000000,0.000024
1941,0.000000,0.000022
1942,0.000000,0.000021
1943,0.000000,0.000015
1944,0.000000,0.000015
1945,0.000000,0.000014
1946,0.000000,0.000013
1947,0.000000,0.000014
1948,0.000000,0.000012
1949,0.000000,0.000017
1950,0.000000,0.000014
1951,0.000000,0.000018
1952,0.000000,0.000013
1953,0.000000,0.000014
1954,0.000000,0.000014
1955,0.000000,0.000016
1956,0.000000,0.000017
1957,0.000000,0.000017
1958,0.000000,0.000017
1959,0.000001,0.000015
1960,0.000000,0.000015
1961,0.000000,0.000015
1962,0.000000,0.000017
1963,0.000000,0.000014
1964,0.000000,0.000014
1965,0.000000,0.000014
1966,0.000000,0.000016
1967,0.000000,0.000014
1968,0.000000,0.000016
1969,0.000000,0.000018
1970,0.000000,0.000013
1971,0.000000,0.000014
1972,0.000000,0.000017
1973,0.000000,0.000018
1974,0.000000,0.000015
1975,0.000000,0.000015
1976,0.000002,0.000016
1977,0.000000,0.000017
1978,0.000002,0.000014
1979,0.000002,0.000014
1980,0.000000,0.000015
1981,0.000000,0.000013
1982,0.000000,0.000013
1983,0.000000,0.000010
1984,0.000000,0.000013
1985,0.000000,0.000010
1986,0.000000,0.000011
1987,0.000000,0.000008
1988,0.000000,0.000011
1989,0.000000,0.000010
1990,0.000000,0.000010
1991,0.000000,0.000011
1992,0.000000,0.000008
1993,0.000000,0.000007
1994,0.000000,0.000012
1995,0.000000,0.000007
1996,0.000000,0.000009
1997,0.000000,0.000010
1998,0.000000,0.000007
1999,0.000000,0.000008
2000,0.000000,0.000009
2001,0.000000,0.000010
2002,0.000000,0.000010
2003,0.000000,0.000008
2004,0.000000,0.000008
2005,0.000000,0.000011
2006,0.000000,0.000010
2007,0.000000,0.000012
2008,0.000000,0.000013
2009,0.000000,0.000014
2010,0.000000,0.000015
2011,0.000000,0.000013
2012,0.000000,0.000016
