year,Letitia
1880,22
1881,19
1882,19
1883,23
1884,20
1885,18
1886,25
1887,29
1888,26
1889,25
1890,20
1891,23
1892,28
1893,32
1894,37
1895,29
1896,31
1897,23
1898,29
1899,29
1900,30
1901,18
1902,28
1903,23
1904,21
1905,27
1906,25
1907,24
1908,20
1909,19
1910,30
1911,34
1912,38
1913,49
1914,76
1915,70
1916,77
1917,59
1918,56
1919,54
1920,59
1921,54
1922,61
1923,61
1924,73
1925,58
1926,52
1927,61
1928,53
1929,46
1930,64
1931,39
1932,71
1933,56
1934,63
1935,57
1936,62
1937,71
1938,64
1939,63
1940,90
1941,106
1942,89
1943,84
1944,72
1945,76
1946,83
1947,94
1948,100
1949,110
1950,118
1951,111
1952,92
1953,114
1954,116
1955,118
1956,107
1957,132
1958,148
1959,148
1960,201
1961,299
1962,254
1963,272
1964,329
1965,281
1966,281
1967,254
1968,234
1969,239
1970,247
1971,301
1972,247
1973,278
1974,262
1975,263
1976,229
1977,230
1978,231
1979,194
1980,184
1981,150
1982,176
1983,136
1984,103
1985,107
1986,93
1987,93
1988,90
1989,69
1990,76
1991,64
1992,61
1993,42
1994,39
1995,31
1996,27
1997,15
1998,18
1999,15
2000,13
2001,7
2002,7
2003,11
2004,9
2005,5
2006,5
2007,9
2008,6
2009,0
2010,0
2011,0
2012,6
