year,Lenore
1880,12
1881,10
1882,19
1883,17
1884,13
1885,22
1886,20
1887,37
1888,31
1889,37
1890,38
1891,25
1892,49
1893,67
1894,43
1895,62
1896,66
1897,67
1898,59
1899,68
1900,81
1901,56
1902,84
1903,78
1904,82
1905,113
1906,117
1907,97
1908,115
1909,114
1910,140
1911,131
1912,168
1913,210
1914,269
1915,360
1916,330
1917,367
1918,412
1919,390
1920,402
1921,418
1922,439
1923,386
1924,434
1925,408
1926,460
1927,459
1928,415
1929,439
1930,411
1931,398
1932,373
1933,376
1934,350
1935,352
1936,373
1937,340
1938,333
1939,296
1940,239
1941,284
1942,360
1943,344
1944,308
1945,275
1946,371
1947,408
1948,355
1949,321
1950,291
1951,308
1952,308
1953,256
1954,245
1955,253
1956,250
1957,290
1958,284
1959,291
1960,255
1961,236
1962,221
1963,176
1964,155
1965,157
1966,149
1967,198
1968,203
1969,175
1970,156
1971,186
1972,148
1973,129
1974,109
1975,84
1976,63
1977,54
1978,47
1979,53
1980,39
1981,63
1982,36
1983,31
1984,32
1985,33
1986,44
1987,18
1988,27
1989,30
1990,23
1991,27
1992,9
1993,12
1994,19
1995,12
1996,9
1997,14
1998,20
1999,12
2000,16
2001,12
2002,9
2003,14
2004,13
2005,16
2006,21
2007,18
2008,21
2009,21
2010,24
2011,33
2012,38
