year,Landon (F),Landon (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000027
1883,0.000000,0.000028
1884,0.000000,0.000025
1885,0.000000,0.000021
1886,0.000000,0.000020
1887,0.000000,0.000028
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000027
1893,0.000000,0.000022
1894,0.000000,0.000015
1895,0.000000,0.000017
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000024
1900,0.000000,0.000016
1901,0.000000,0.000000
1902,0.000000,0.000013
1903,0.000000,0.000024
1904,0.000000,0.000015
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000011
1908,0.000000,0.000010
1909,0.000000,0.000020
1910,0.000000,0.000008
1911,0.000000,0.000009
1912,0.000000,0.000011
1913,0.000000,0.000018
1914,0.000000,0.000021
1915,0.000000,0.000015
1916,0.000000,0.000019
1917,0.000000,0.000012
1918,0.000000,0.000012
1919,0.000000,0.000017
1920,0.000000,0.000014
1921,0.000000,0.000018
1922,0.000000,0.000018
1923,0.000000,0.000021
1924,0.000000,0.000016
1925,0.000000,0.000007
1926,0.000000,0.000015
1927,0.000000,0.000016
1928,0.000000,0.000016
1929,0.000000,0.000013
1930,0.000000,0.000018
1931,0.000000,0.000010
1932,0.000000,0.000017
1933,0.000000,0.000009
1934,0.000000,0.000009
1935,0.000000,0.000022
1936,0.000000,0.000083
1937,0.000000,0.000028
1938,0.000000,0.000014
1939,0.000000,0.000016
1940,0.000000,0.000018
1941,0.000000,0.000010
1942,0.000000,0.000014
1943,0.000002,0.000012
1944,0.000000,0.000013
1945,0.000000,0.000009
1946,0.000000,0.000009
1947,0.000000,0.000009
1948,0.000000,0.000010
1949,0.000000,0.000007
1950,0.000000,0.000011
1951,0.000000,0.000010
1952,0.000000,0.000011
1953,0.000000,0.000008
1954,0.000000,0.000007
1955,0.000000,0.000006
1956,0.000000,0.000007
1957,0.000000,0.000009
1958,0.000000,0.000008
1959,0.000000,0.000008
1960,0.000000,0.000012
1961,0.000000,0.000014
1962,0.000000,0.000015
1963,0.000000,0.000017
1964,0.000000,0.000017
1965,0.000000,0.000020
1966,0.000000,0.000018
1967,0.000000,0.000019
1968,0.000000,0.000020
1969,0.000000,0.000032
1970,0.000000,0.000030
1971,0.000000,0.000031
1972,0.000000,0.000035
1973,0.000000,0.000027
1974,0.000002,0.000044
1975,0.000000,0.000070
1976,0.000000,0.000073
1977,0.000002,0.000081
1978,0.000002,0.000092
1979,0.000003,0.000118
1980,0.000001,0.000109
1981,0.000003,0.000143
1982,0.000003,0.000164
1983,0.000000,0.000168
1984,0.000002,0.000165
1985,0.000003,0.000170
1986,0.000003,0.000177
1987,0.000004,0.000182
1988,0.000004,0.000196
1989,0.000003,0.000196
1990,0.000001,0.000192
1991,0.000004,0.000234
1992,0.000004,0.000270
1993,0.000005,0.000297
1994,0.000006,0.000311
1995,0.000005,0.000335
1996,0.000007,0.000383
1997,0.000004,0.000426
1998,0.000005,0.000447
1999,0.000004,0.000465
2000,0.000007,0.000465
2001,0.000006,0.000503
2002,0.000005,0.000729
2003,0.000007,0.001161
2004,0.000013,0.001319
2005,0.000006,0.001851
2006,0.000006,0.002421
2007,0.000007,0.002278
2008,0.000007,0.002383
2009,0.000007,0.002663
2010,0.000007,0.002838
2011,0.000008,0.002672
2012,0.000006,0.002561
