year,Lucian (F),Lucian (M)
1880,0.000000,0.000089
1881,0.000000,0.000156
1882,0.000000,0.000095
1883,0.000000,0.000097
1884,0.000000,0.000082
1885,0.000000,0.000104
1886,0.000000,0.000070
1887,0.000000,0.000077
1888,0.000000,0.000087
1889,0.000000,0.000073
1890,0.000000,0.000053
1891,0.000000,0.000028
1892,0.000000,0.000051
1893,0.000000,0.000058
1894,0.000000,0.000050
1895,0.000000,0.000043
1896,0.000000,0.000053
1897,0.000000,0.000037
1898,0.000000,0.000052
1899,0.000000,0.000047
1900,0.000000,0.000047
1901,0.000000,0.000035
1902,0.000000,0.000034
1903,0.000000,0.000031
1904,0.000000,0.000032
1905,0.000000,0.000038
1906,0.000000,0.000026
1907,0.000000,0.000043
1908,0.000000,0.000043
1909,0.000000,0.000045
1910,0.000000,0.000029
1911,0.000000,0.000051
1912,0.000000,0.000050
1913,0.000000,0.000052
1914,0.000000,0.000056
1915,0.000000,0.000068
1916,0.000000,0.000063
1917,0.000000,0.000052
1918,0.000000,0.000047
1919,0.000000,0.000038
1920,0.000000,0.000054
1921,0.000000,0.000042
1922,0.000000,0.000054
1923,0.000000,0.000045
1924,0.000002,0.000044
1925,0.000000,0.000043
1926,0.000000,0.000034
1927,0.000000,0.000039
1928,0.000000,0.000030
1929,0.000002,0.000031
1930,0.000000,0.000037
1931,0.000000,0.000031
1932,0.000000,0.000027
1933,0.000000,0.000028
1934,0.000000,0.000025
1935,0.000000,0.000019
1936,0.000000,0.000023
1937,0.000000,0.000023
1938,0.000000,0.000023
1939,0.000000,0.000021
1940,0.000000,0.000018
1941,0.000000,0.000019
1942,0.000000,0.000022
1943,0.000000,0.000016
1944,0.000000,0.000023
1945,0.000000,0.000016
1946,0.000000,0.000015
1947,0.000000,0.000014
1948,0.000000,0.000012
1949,0.000000,0.000015
1950,0.000000,0.000010
1951,0.000000,0.000018
1952,0.000000,0.000018
1953,0.000000,0.000011
1954,0.000000,0.000011
1955,0.000000,0.000013
1956,0.000000,0.000009
1957,0.000000,0.000008
1958,0.000000,0.000008
1959,0.000000,0.000008
1960,0.000000,0.000012
1961,0.000000,0.000008
1962,0.000000,0.000005
1963,0.000000,0.000009
1964,0.000000,0.000010
1965,0.000000,0.000007
1966,0.000000,0.000006
1967,0.000000,0.000007
1968,0.000000,0.000007
1969,0.000000,0.000008
1970,0.000000,0.000008
1971,0.000000,0.000006
1972,0.000000,0.000009
1973,0.000000,0.000007
1974,0.000000,0.000005
1975,0.000002,0.000008
1976,0.000000,0.000012
1977,0.000002,0.000010
1978,0.000000,0.000010
1979,0.000000,0.000010
1980,0.000000,0.000012
1981,0.000000,0.000008
1982,0.000000,0.000011
1983,0.000000,0.000008
1984,0.000000,0.000008
1985,0.000000,0.000007
1986,0.000000,0.000007
1987,0.000000,0.000004
1988,0.000000,0.000009
1989,0.000000,0.000009
1990,0.000000,0.000009
1991,0.000000,0.000008
1992,0.000000,0.000006
1993,0.000000,0.000012
1994,0.000000,0.000009
1995,0.000000,0.000009
1996,0.000000,0.000009
1997,0.000000,0.000014
1998,0.000000,0.000011
1999,0.000000,0.000012
2000,0.000000,0.000016
2001,0.000000,0.000019
2002,0.000000,0.000020
2003,0.000000,0.000022
2004,0.000000,0.000037
2005,0.000000,0.000057
2006,0.000000,0.000063
2007,0.000002,0.000070
2008,0.000000,0.000069
2009,0.000000,0.000112
2010,0.000000,0.000121
2011,0.000000,0.000115
2012,0.000000,0.000119
