year,Lorri
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,6
1943,0
1944,0
1945,6
1946,6
1947,12
1948,9
1949,16
1950,25
1951,31
1952,46
1953,109
1954,150
1955,174
1956,259
1957,270
1958,393
1959,507
1960,528
1961,675
1962,556
1963,564
1964,551
1965,425
1966,378
1967,287
1968,306
1969,294
1970,226
1971,218
1972,133
1973,133
1974,106
1975,85
1976,75
1977,63
1978,48
1979,56
1980,52
1981,30
1982,28
1983,26
1984,14
1985,18
1986,18
1987,13
1988,20
1989,14
1990,15
1991,12
1992,9
1993,11
1994,5
1995,6
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
