year,Lavetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,6
1915,5
1916,8
1917,8
1918,8
1919,15
1920,14
1921,11
1922,0
1923,12
1924,11
1925,10
1926,17
1927,8
1928,13
1929,16
1930,14
1931,9
1932,11
1933,14
1934,13
1935,15
1936,13
1937,8
1938,13
1939,10
1940,10
1941,20
1942,11
1943,17
1944,10
1945,10
1946,11
1947,12
1948,11
1949,13
1950,9
1951,25
1952,12
1953,25
1954,10
1955,17
1956,18
1957,25
1958,17
1959,17
1960,19
1961,24
1962,27
1963,28
1964,30
1965,31
1966,29
1967,25
1968,15
1969,28
1970,29
1971,23
1972,21
1973,15
1974,19
1975,22
1976,16
1977,11
1978,14
1979,18
1980,20
1981,16
1982,18
1983,11
1984,13
1985,12
1986,0
1987,11
1988,17
1989,8
1990,7
1991,14
1992,0
1993,8
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
