year,Lynelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,5
1928,0
1929,0
1930,0
1931,0
1932,5
1933,8
1934,0
1935,5
1936,0
1937,6
1938,0
1939,0
1940,9
1941,0
1942,0
1943,0
1944,8
1945,10
1946,19
1947,21
1948,29
1949,20
1950,28
1951,19
1952,19
1953,22
1954,33
1955,33
1956,77
1957,61
1958,45
1959,48
1960,44
1961,29
1962,62
1963,48
1964,75
1965,80
1966,78
1967,79
1968,62
1969,57
1970,66
1971,83
1972,46
1973,28
1974,38
1975,29
1976,24
1977,17
1978,21
1979,34
1980,32
1981,24
1982,33
1983,27
1984,29
1985,29
1986,18
1987,11
1988,16
1989,15
1990,18
1991,13
1992,17
1993,23
1994,11
1995,13
1996,13
1997,11
1998,14
1999,16
2000,15
2001,9
2002,15
2003,21
2004,21
2005,12
2006,20
2007,21
2008,16
2009,15
2010,18
2011,17
2012,21
