year,Lucas (F),Lucas (M)
1880,0.000000,0.000000
1881,0.000000,0.000057
1882,0.000000,0.000000
1883,0.000000,0.000023
1884,0.000000,0.000021
1885,0.000000,0.000025
1886,0.000000,0.000031
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000028
1892,0.000000,0.000030
1893,0.000000,0.000031
1894,0.000000,0.000024
1895,0.000000,0.000017
1896,0.000000,0.000020
1897,0.000000,0.000000
1898,0.000000,0.000021
1899,0.000000,0.000029
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000016
1903,0.000000,0.000018
1904,0.000000,0.000015
1905,0.000000,0.000012
1906,0.000000,0.000016
1907,0.000000,0.000011
1908,0.000000,0.000018
1909,0.000000,0.000020
1910,0.000000,0.000019
1911,0.000000,0.000011
1912,0.000000,0.000022
1913,0.000000,0.000024
1914,0.000000,0.000018
1915,0.000000,0.000023
1916,0.000000,0.000017
1917,0.000000,0.000017
1918,0.000000,0.000024
1919,0.000000,0.000015
1920,0.000000,0.000018
1921,0.000000,0.000019
1922,0.000000,0.000016
1923,0.000000,0.000022
1924,0.000000,0.000021
1925,0.000000,0.000015
1926,0.000000,0.000017
1927,0.000000,0.000016
1928,0.000000,0.000017
1929,0.000000,0.000015
1930,0.000000,0.000013
1931,0.000000,0.000013
1932,0.000000,0.000012
1933,0.000000,0.000012
1934,0.000000,0.000012
1935,0.000000,0.000016
1936,0.000000,0.000010
1937,0.000000,0.000012
1938,0.000000,0.000008
1939,0.000000,0.000012
1940,0.000000,0.000008
1941,0.000000,0.000010
1942,0.000000,0.000008
1943,0.000000,0.000008
1944,0.000000,0.000011
1945,0.000000,0.000009
1946,0.000000,0.000009
1947,0.000000,0.000009
1948,0.000000,0.000008
1949,0.000000,0.000007
1950,0.000000,0.000007
1951,0.000000,0.000007
1952,0.000000,0.000009
1953,0.000000,0.000006
1954,0.000000,0.000005
1955,0.000000,0.000008
1956,0.000000,0.000008
1957,0.000000,0.000007
1958,0.000000,0.000012
1959,0.000000,0.000015
1960,0.000000,0.000019
1961,0.000000,0.000021
1962,0.000000,0.000022
1963,0.000000,0.000019
1964,0.000000,0.000023
1965,0.000000,0.000022
1966,0.000000,0.000023
1967,0.000000,0.000017
1968,0.000000,0.000029
1969,0.000000,0.000035
1970,0.000000,0.000045
1971,0.000000,0.000059
1972,0.000000,0.000074
1973,0.000000,0.000100
1974,0.000000,0.000187
1975,0.000000,0.000296
1976,0.000002,0.000289
1977,0.000003,0.000346
1978,0.000004,0.000613
1979,0.000003,0.000764
1980,0.000004,0.000897
1981,0.000005,0.000976
1982,0.000005,0.000782
1983,0.000004,0.000682
1984,0.000003,0.000605
1985,0.000002,0.000648
1986,0.000003,0.000618
1987,0.000002,0.000646
1988,0.000003,0.000734
1989,0.000003,0.000744
1990,0.000002,0.000781
1991,0.000002,0.000831
1992,0.000002,0.000880
1993,0.000000,0.001040
1994,0.000002,0.001079
1995,0.000002,0.001115
1996,0.000000,0.001126
1997,0.000002,0.001112
1998,0.000002,0.001112
1999,0.000002,0.001143
2000,0.000002,0.001276
2001,0.000000,0.001309
2002,0.000003,0.001440
2003,0.000000,0.001514
2004,0.000010,0.001758
2005,0.000003,0.001972
2006,0.000003,0.002059
2007,0.000004,0.002192
2008,0.000004,0.002375
2009,0.000003,0.002518
2010,0.000004,0.002813
2011,0.000004,0.002848
2012,0.000002,0.002932
