year,Leland (F),Leland (M)
1880,0.000000,0.000045
1881,0.000000,0.000047
1882,0.000000,0.000059
1883,0.000000,0.000097
1884,0.000025,0.000058
1885,0.000000,0.000095
1886,0.000000,0.000106
1887,0.000000,0.000081
1888,0.000000,0.000124
1889,0.000000,0.000100
1890,0.000000,0.000149
1891,0.000000,0.000126
1892,0.000000,0.000170
1893,0.000000,0.000184
1894,0.000000,0.000162
1895,0.000000,0.000154
1896,0.000000,0.000171
1897,0.000014,0.000173
1898,0.000000,0.000131
1899,0.000000,0.000183
1900,0.000000,0.000169
1901,0.000000,0.000197
1902,0.000000,0.000150
1903,0.000000,0.000197
1904,0.000000,0.000171
1905,0.000014,0.000156
1906,0.000000,0.000231
1907,0.000011,0.000185
1908,0.000000,0.000160
1909,0.000000,0.000176
1910,0.000000,0.000164
1911,0.000000,0.000197
1912,0.000008,0.000255
1913,0.000005,0.000297
1914,0.000006,0.000292
1915,0.000004,0.000326
1916,0.000004,0.000295
1917,0.000000,0.000312
1918,0.000002,0.000318
1919,0.000003,0.000317
1920,0.000003,0.000353
1921,0.000004,0.000371
1922,0.000004,0.000335
1923,0.000007,0.000350
1924,0.000002,0.000325
1925,0.000000,0.000368
1926,0.000000,0.000338
1927,0.000000,0.000355
1928,0.000007,0.000348
1929,0.000000,0.000348
1930,0.000004,0.000318
1931,0.000003,0.000329
1932,0.000002,0.000302
1933,0.000003,0.000323
1934,0.000004,0.000320
1935,0.000003,0.000298
1936,0.000000,0.000286
1937,0.000000,0.000261
1938,0.000000,0.000264
1939,0.000000,0.000258
1940,0.000000,0.000264
1941,0.000000,0.000262
1942,0.000002,0.000247
1943,0.000005,0.000240
1944,0.000000,0.000222
1945,0.000000,0.000204
1946,0.000000,0.000178
1947,0.000000,0.000182
1948,0.000000,0.000195
1949,0.000000,0.000181
1950,0.000000,0.000160
1951,0.000000,0.000160
1952,0.000000,0.000158
1953,0.000000,0.000139
1954,0.000000,0.000129
1955,0.000001,0.000141
1956,0.000000,0.000125
1957,0.000000,0.000114
1958,0.000001,0.000112
1959,0.000001,0.000103
1960,0.000001,0.000098
1961,0.000000,0.000104
1962,0.000001,0.000096
1963,0.000000,0.000090
1964,0.000000,0.000103
1965,0.000000,0.000098
1966,0.000002,0.000097
1967,0.000000,0.000093
1968,0.000000,0.000075
1969,0.000001,0.000082
1970,0.000000,0.000075
1971,0.000000,0.000073
1972,0.000000,0.000080
1973,0.000000,0.000080
1974,0.000000,0.000073
1975,0.000002,0.000067
1976,0.000000,0.000068
1977,0.000002,0.000065
1978,0.000000,0.000072
1979,0.000000,0.000062
1980,0.000000,0.000060
1981,0.000000,0.000061
1982,0.000001,0.000052
1983,0.000000,0.000060
1984,0.000000,0.000058
1985,0.000000,0.000047
1986,0.000002,0.000055
1987,0.000000,0.000059
1988,0.000000,0.000068
1989,0.000000,0.000068
1990,0.000001,0.000069
1991,0.000000,0.000069
1992,0.000001,0.000058
1993,0.000001,0.000054
1994,0.000000,0.000044
1995,0.000002,0.000048
1996,0.000000,0.000040
1997,0.000000,0.000046
1998,0.000000,0.000038
1999,0.000000,0.000035
2000,0.000001,0.000036
2001,0.000002,0.000029
2002,0.000002,0.000036
2003,0.000002,0.000034
2004,0.000003,0.000029
2005,0.000002,0.000096
2006,0.000004,0.000228
2007,0.000002,0.000257
2008,0.000001,0.000185
2009,0.000003,0.000234
2010,0.000002,0.000260
2011,0.000002,0.000257
2012,0.000002,0.000246
2013,0.000002,0.000210
