year,Lelia
1880,65
1881,74
1882,95
1883,84
1884,102
1885,104
1886,102
1887,102
1888,128
1889,131
1890,137
1891,141
1892,171
1893,133
1894,146
1895,157
1896,153
1897,152
1898,149
1899,148
1900,206
1901,138
1902,140
1903,149
1904,156
1905,139
1906,124
1907,141
1908,141
1909,142
1910,138
1911,159
1912,186
1913,165
1914,226
1915,272
1916,265
1917,273
1918,308
1919,316
1920,276
1921,289
1922,295
1923,287
1924,304
1925,295
1926,271
1927,241
1928,240
1929,189
1930,199
1931,175
1932,193
1933,170
1934,159
1935,170
1936,146
1937,148
1938,161
1939,154
1940,152
1941,170
1942,134
1943,147
1944,134
1945,123
1946,144
1947,140
1948,138
1949,157
1950,110
1951,127
1952,112
1953,124
1954,118
1955,124
1956,97
1957,115
1958,96
1959,93
1960,104
1961,93
1962,78
1963,75
1964,79
1965,66
1966,60
1967,45
1968,49
1969,38
1970,48
1971,31
1972,38
1973,38
1974,37
1975,37
1976,30
1977,38
1978,28
1979,34
1980,30
1981,24
1982,31
1983,32
1984,34
1985,34
1986,34
1987,23
1988,29
1989,28
1990,27
1991,32
1992,31
1993,27
1994,15
1995,18
1996,20
1997,27
1998,26
1999,29
2000,33
2001,30
2002,26
2003,44
2004,38
2005,39
2006,43
2007,33
2008,36
2009,31
2010,39
2011,41
2012,39
