year,Loyd (F),Loyd (M)
1880,0.000000,0.000069
1881,0.000000,0.000057
1882,0.000000,0.000072
1883,0.000000,0.000060
1884,0.000000,0.000123
1885,0.000000,0.000100
1886,0.000000,0.000082
1887,0.000000,0.000081
1888,0.000000,0.000093
1889,0.000000,0.000107
1890,0.000000,0.000106
1891,0.000000,0.000101
1892,0.000000,0.000123
1893,0.000000,0.000151
1894,0.000000,0.000106
1895,0.000000,0.000157
1896,0.000000,0.000157
1897,0.000000,0.000176
1898,0.000000,0.000144
1899,0.000000,0.000136
1900,0.000000,0.000142
1901,0.000000,0.000174
1902,0.000000,0.000158
1903,0.000000,0.000184
1904,0.000000,0.000141
1905,0.000000,0.000125
1906,0.000000,0.000163
1907,0.000000,0.000146
1908,0.000000,0.000125
1909,0.000000,0.000155
1910,0.000000,0.000168
1911,0.000000,0.000213
1912,0.000000,0.000198
1913,0.000000,0.000207
1914,0.000000,0.000220
1915,0.000003,0.000238
1916,0.000000,0.000241
1917,0.000000,0.000243
1918,0.000005,0.000261
1919,0.000000,0.000286
1920,0.000003,0.000257
1921,0.000003,0.000257
1922,0.000000,0.000255
1923,0.000000,0.000263
1924,0.000003,0.000254
1925,0.000000,0.000237
1926,0.000003,0.000271
1927,0.000000,0.000259
1928,0.000005,0.000239
1929,0.000003,0.000230
1930,0.000004,0.000225
1931,0.000003,0.000245
1932,0.000000,0.000212
1933,0.000003,0.000204
1934,0.000003,0.000174
1935,0.000000,0.000183
1936,0.000000,0.000171
1937,0.000000,0.000175
1938,0.000000,0.000160
1939,0.000000,0.000166
1940,0.000000,0.000143
1941,0.000000,0.000137
1942,0.000000,0.000126
1943,0.000000,0.000112
1944,0.000000,0.000107
1945,0.000000,0.000089
1946,0.000000,0.000102
1947,0.000000,0.000087
1948,0.000000,0.000077
1949,0.000000,0.000068
1950,0.000000,0.000072
1951,0.000000,0.000063
1952,0.000000,0.000066
1953,0.000000,0.000060
1954,0.000000,0.000048
1955,0.000000,0.000053
1956,0.000000,0.000048
1957,0.000000,0.000045
1958,0.000000,0.000041
1959,0.000000,0.000045
1960,0.000000,0.000035
1961,0.000000,0.000042
1962,0.000000,0.000036
1963,0.000000,0.000039
1964,0.000000,0.000029
1965,0.000000,0.000030
1966,0.000000,0.000026
1967,0.000000,0.000031
1968,0.000000,0.000027
1969,0.000000,0.000024
1970,0.000000,0.000029
1971,0.000000,0.000032
1972,0.000000,0.000022
1973,0.000000,0.000020
1974,0.000000,0.000018
1975,0.000000,0.000023
1976,0.000000,0.000019
1977,0.000000,0.000015
1978,0.000000,0.000014
1979,0.000000,0.000010
1980,0.000000,0.000018
1981,0.000000,0.000016
1982,0.000000,0.000014
1983,0.000000,0.000010
1984,0.000000,0.000011
1985,0.000000,0.000008
1986,0.000000,0.000010
1987,0.000000,0.000006
1988,0.000000,0.000010
1989,0.000000,0.000009
1990,0.000000,0.000005
1991,0.000000,0.000006
1992,0.000000,0.000006
1993,0.000000,0.000006
1994,0.000000,0.000005
1995,0.000000,0.000004
1996,0.000000,0.000005
1997,0.000000,0.000003
1998,0.000000,0.000004
1999,0.000000,0.000004
2000,0.000000,0.000003
2001,0.000000,0.000003
2002,0.000000,0.000002
2003,0.000000,0.000002
2004,0.000000,0.000001
2005,0.000000,0.000003
2006,0.000000,0.000002
2007,0.000000,0.000000
2008,0.000000,0.000002
2009,0.000000,0.000002
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000002
