year,Ladawn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,6
1937,0
1938,6
1939,0
1940,0
1941,0
1942,0
1943,0
1944,8
1945,5
1946,10
1947,8
1948,6
1949,9
1950,0
1951,10
1952,9
1953,11
1954,13
1955,14
1956,19
1957,24
1958,19
1959,23
1960,20
1961,31
1962,35
1963,30
1964,33
1965,42
1966,40
1967,50
1968,56
1969,42
1970,76
1971,80
1972,50
1973,54
1974,56
1975,51
1976,66
1977,59
1978,42
1979,39
1980,40
1981,44
1982,27
1983,31
1984,38
1985,19
1986,28
1987,31
1988,19
1989,18
1990,20
1991,15
1992,11
1993,14
1994,14
1995,11
1996,8
1997,5
1998,7
1999,0
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
