year,Lorra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,6
1950,8
1951,5
1952,6
1953,0
1954,12
1955,6
1956,0
1957,11
1958,9
1959,12
1960,20
1961,17
1962,24
1963,14
1964,18
1965,30
1966,18
1967,20
1968,19
1969,20
1970,11
1971,17
1972,13
1973,14
1974,5
1975,5
1976,9
1977,8
1978,13
1979,8
1980,0
1981,11
1982,0
1983,9
1984,6
1985,9
1986,7
1987,0
1988,6
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
