year,Lizzie (F),Lizzie (M)
1880,0.001926,0.000000
1881,0.002055,0.000000
1882,0.002234,0.000000
1883,0.002286,0.000000
1884,0.002148,0.000000
1885,0.002230,0.000000
1886,0.002005,0.000000
1887,0.002122,0.000000
1888,0.001980,0.000017
1889,0.001973,0.000000
1890,0.002057,0.000000
1891,0.001831,0.000000
1892,0.001785,0.000000
1893,0.001796,0.000000
1894,0.001659,0.000000
1895,0.001547,0.000000
1896,0.001421,0.000000
1897,0.001565,0.000000
1898,0.001526,0.000000
1899,0.001450,0.000018
1900,0.001459,0.000000
1901,0.001324,0.000000
1902,0.001303,0.000000
1903,0.001201,0.000000
1904,0.001041,0.000012
1905,0.001123,0.000000
1906,0.001048,0.000000
1907,0.000993,0.000000
1908,0.000892,0.000000
1909,0.000986,0.000014
1910,0.000855,0.000000
1911,0.000685,0.000000
1912,0.000555,0.000000
1913,0.000468,0.000000
1914,0.000389,0.000004
1915,0.000359,0.000000
1916,0.000346,0.000000
1917,0.000321,0.000000
1918,0.000334,0.000003
1919,0.000384,0.000002
1920,0.000314,0.000003
1921,0.000285,0.000003
1922,0.000299,0.000000
1923,0.000271,0.000003
1924,0.000244,0.000003
1925,0.000273,0.000002
1926,0.000237,0.000000
1927,0.000241,0.000003
1928,0.000211,0.000002
1929,0.000222,0.000000
1930,0.000222,0.000000
1931,0.000193,0.000000
1932,0.000197,0.000000
1933,0.000203,0.000000
1934,0.000172,0.000000
1935,0.000191,0.000002
1936,0.000149,0.000003
1937,0.000150,0.000000
1938,0.000133,0.000000
1939,0.000129,0.000000
1940,0.000126,0.000002
1941,0.000143,0.000000
1942,0.000109,0.000000
1943,0.000104,0.000000
1944,0.000099,0.000000
1945,0.000100,0.000000
1946,0.000091,0.000000
1947,0.000076,0.000000
1948,0.000081,0.000000
1949,0.000070,0.000000
1950,0.000070,0.000000
1951,0.000062,0.000000
1952,0.000053,0.000000
1953,0.000047,0.000000
1954,0.000052,0.000000
1955,0.000044,0.000000
1956,0.000037,0.000000
1957,0.000030,0.000000
1958,0.000031,0.000000
1959,0.000029,0.000000
1960,0.000028,0.000000
1961,0.000025,0.000000
1962,0.000020,0.000000
1963,0.000028,0.000000
1964,0.000026,0.000000
1965,0.000023,0.000000
1966,0.000018,0.000000
1967,0.000017,0.000000
1968,0.000019,0.000000
1969,0.000017,0.000000
1970,0.000015,0.000000
1971,0.000016,0.000000
1972,0.000014,0.000000
1973,0.000016,0.000000
1974,0.000013,0.000000
1975,0.000019,0.000000
1976,0.000014,0.000000
1977,0.000013,0.000000
1978,0.000012,0.000000
1979,0.000012,0.000000
1980,0.000009,0.000000
1981,0.000014,0.000000
1982,0.000011,0.000000
1983,0.000012,0.000000
1984,0.000008,0.000000
1985,0.000011,0.000000
1986,0.000009,0.000000
1987,0.000009,0.000000
1988,0.000011,0.000000
1989,0.000007,0.000000
1990,0.000009,0.000000
1991,0.000010,0.000000
1992,0.000008,0.000000
1993,0.000006,0.000000
1994,0.000009,0.000000
1995,0.000004,0.000000
1996,0.000005,0.000000
1997,0.000007,0.000000
1998,0.000008,0.000000
1999,0.000007,0.000000
2000,0.000010,0.000000
2001,0.000010,0.000000
2002,0.000010,0.000000
2003,0.000023,0.000000
2004,0.000018,0.000000
2005,0.000020,0.000000
2006,0.000017,0.000000
2007,0.000017,0.000000
2008,0.000012,0.000000
2009,0.000013,0.000000
2010,0.000013,0.000000
2011,0.000016,0.000000
2012,0.000015,0.000000
