year,Lonie (F),Lonie (M)
1880,0.000000,0.000035
1881,0.000057,0.000031
1882,0.000000,0.000041
1883,0.000065,0.000023
1884,0.000029,0.000033
1885,0.000058,0.000025
1886,0.000067,0.000039
1887,0.000089,0.000000
1888,0.000097,0.000020
1889,0.000052,0.000048
1890,0.000086,0.000033
1891,0.000052,0.000000
1892,0.000072,0.000036
1893,0.000089,0.000028
1894,0.000059,0.000035
1895,0.000071,0.000034
1896,0.000081,0.000028
1897,0.000069,0.000026
1898,0.000089,0.000029
1899,0.000053,0.000015
1900,0.000082,0.000044
1901,0.000081,0.000017
1902,0.000057,0.000021
1903,0.000055,0.000018
1904,0.000074,0.000027
1905,0.000052,0.000017
1906,0.000044,0.000014
1907,0.000047,0.000019
1908,0.000053,0.000014
1909,0.000033,0.000020
1910,0.000051,0.000017
1911,0.000036,0.000025
1912,0.000027,0.000019
1913,0.000026,0.000011
1914,0.000031,0.000014
1915,0.000020,0.000010
1916,0.000019,0.000008
1917,0.000021,0.000008
1918,0.000018,0.000009
1919,0.000021,0.000015
1920,0.000016,0.000011
1921,0.000014,0.000014
1922,0.000015,0.000007
1923,0.000014,0.000007
1924,0.000014,0.000011
1925,0.000013,0.000008
1926,0.000010,0.000010
1927,0.000009,0.000010
1928,0.000005,0.000011
1929,0.000007,0.000007
1930,0.000009,0.000009
1931,0.000007,0.000004
1932,0.000008,0.000009
1933,0.000004,0.000006
1934,0.000005,0.000006
1935,0.000008,0.000005
1936,0.000005,0.000005
1937,0.000008,0.000008
1938,0.000005,0.000006
1939,0.000006,0.000004
1940,0.000005,0.000007
1941,0.000003,0.000000
1942,0.000005,0.000004
1943,0.000005,0.000004
1944,0.000003,0.000003
1945,0.000002,0.000003
1946,0.000003,0.000002
1947,0.000000,0.000003
1948,0.000004,0.000002
1949,0.000003,0.000003
1950,0.000003,0.000002
1951,0.000003,0.000002
1952,0.000003,0.000002
1953,0.000003,0.000002
1954,0.000001,0.000002
1955,0.000002,0.000003
1956,0.000000,0.000003
1957,0.000002,0.000002
1958,0.000004,0.000002
1959,0.000003,0.000003
1960,0.000003,0.000002
1961,0.000003,0.000003
1962,0.000000,0.000001
1963,0.000002,0.000000
1964,0.000002,0.000002
1965,0.000002,0.000002
1966,0.000003,0.000000
1967,0.000002,0.000002
1968,0.000000,0.000002
1969,0.000002,0.000003
1970,0.000002,0.000003
1971,0.000000,0.000002
1972,0.000000,0.000002
1973,0.000000,0.000000
1974,0.000000,0.000002
1975,0.000000,0.000002
1976,0.000000,0.000002
1977,0.000002,0.000000
1978,0.000000,0.000002
1979,0.000000,0.000000
1980,0.000003,0.000001
1981,0.000001,0.000000
1982,0.000000,0.000001
1983,0.000002,0.000000
1984,0.000000,0.000000
1985,0.000000,0.000000
1986,0.000001,0.000000
1987,0.000000,0.000000
1988,0.000000,0.000000
1989,0.000001,0.000000
1990,0.000000,0.000001
1991,0.000000,0.000000
1992,0.000000,0.000000
1993,0.000000,0.000000
1994,0.000000,0.000000
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
